city,station_code,latitude,longitude,station_name,region,network,region_index,access_type,operator
Coronel,RVIII/881,-36.933633609856,-73.152701854706,"Escuadron, ENESA",VIII,"Red FPC, ENESA",10,Privada,Electrica Nueva Energia S.A.
Temuco,RIX/901,-38.748650731093,-72.619012605804,Las Encinas Temuco,IX,Red MMA,11,Pública,Ministerio del Medio Ambiente
Padre las Casas,RIX/902,-38.764767451719,-72.598795682209,Padre Las Casas II,IX,Red MMA,11,Pública,Ministerio del Medio Ambiente
Temuco,RIX/905,-38.727003260042,-72.580001950264,Ñielol,IX,Red MMA,11,Pública,Ministerio del Medio Ambiente
Villarrica,RIX/906,-39.290485097831,-72.222104072571,Villarrica,IX,Red MMA,11,Pública,Ministerio del Medio Ambiente
Osorno,RX/A01,-40.584478665958,-73.11871982209,Osorno,X,Red MMA,13,Pública,Ministerio del Medio Ambiente
Puerto Montt,RX/A07,-41.4795069236,-72.968755930145,Mirasol,X,,13,Pública,Ministerio del Medio Ambiente
Puerto Montt,RX/A08,-41.399169537038,-72.899522781372,Alerce,X,Red MMA,13,Pública,Sub Secretaría del Medio Ambiente
Puerto Varas,RX/A09,-41.328935085299,-72.968208759506,Puerto Varas,X,Red MMA,13,Pública,Sub Secretaría del Medio Ambiente
Osorno,RX/AA2,-40.581945892399,-73.173134892662,Universidad de Los Lagos,X,Red MMA,13,Pública,Ministerio del Medio Ambiente
Coyhaique,RXI/B03,-45.57996447948,-72.061125987766,Coyhaique,XI,Red MMA,14,Pública,Ministerio del Medio Ambiente
Coyhaique,RXI/B04,-45.579045667164,-72.049964505825,Coyhaique II,XI,Red MMA,14,Pública,Ministerio del Medio Ambiente
Aysén,RXI/B05,-45.40680023471,-72.696259617805,Vialidad,XI,Red MMA,14,Pública,Ministerio del Medio Ambiente
Cochrane,RXI/B06,-47.254803255147,-72.571392059326,Cochrane,XI,Red MMA,14,Pública,Ministerio del Medio Ambiente
Punta Arenas,RUNKNOWN/C05,-53.158295492238,-70.921497482453,Punta Arenas,UNKNOWN,Red MMA,15,Pública,Ministerio del Medio Ambiente
La Florida,RM/D12,-33.516630362266,-70.588123961971,La Florida (Acreditada),RM,MACAM - Metropolitana,7,Pública,Ministerio del Medio Ambiente
Santiago,RM/D14,-33.464142,-70.660797,Parque O'Higgins,RM,MACAM - Metropolitana,7,Pública,Ministerio del Medio Ambiente
